Area,BHK,Bathroom,Parking,Price,Per_Sqft,Locality
750.0,2,2.0,1.0,5000000,6667.0,Rohini Sector 24
950.0,2,2.0,1.0,15500000,16316.0,other
600.0,2,2.0,1.0,4200000,7000.0,Rohini Sector 24
650.0,2,2.0,1.0,6200000,9538.0,other
1300.0,4,3.0,1.0,15500000,11923.0,Rohini Sector 24
1350.0,4,3.0,1.0,10000000,7407.0,Rohini Sector 24
650.0,2,2.0,1.0,4000000,6154.0,Rohini Sector 24
985.0,3,3.0,1.0,6800000,6904.0,other
1300.0,4,4.0,1.0,15000000,11538.0,other
1100.0,3,2.0,1.0,6200000,5636.0,other
630.0,2,2.0,1.0,5500000,8730.0,Rohini Sector 24
660.0,2,2.0,1.0,5000000,7576.0,Rohini Sector 24
660.0,2,2.0,1.0,4700000,7121.0,other
1150.0,3,3.0,1.0,25000000,21739.0,other
650.0,2,2.0,1.0,6000000,9231.0,Rohini Sector 24
850.0,2,2.0,1.0,11000000,12941.0,other
900.0,3,2.0,5.0,4500000,5000.0,other
430.556,1,1.0,2.0,5300000,12310.0,other
900.0,2,2.0,1.0,10500000,11667.0,other
914.9315,2,2.0,1.0,12000000,13116.0,other
1100.0,3,3.0,1.0,7000000,6364.0,other
500.0,1,1.0,1.0,3400000,6800.0,other
2160.0,4,4.0,1.0,21000000,9722.0,other
800.0,2,2.0,1.0,15000000,18750.0,other
900.0,2,2.0,1.0,10500000,11667.0,Lajpat Nagar
1080.0,3,2.0,1.0,22500000,20833.0,Lajpat Nagar
750.0,2,2.0,1.0,13600000,18133.0,other
1450.0,3,3.0,2.0,30000000,20690.0,Lajpat Nagar 3
900.0,2,2.0,1.0,13500000,15000.0,Lajpat Nagar
810.0,2,2.0,1.0,8910000,11000.0,other
1350.0,3,4.0,1.0,25000000,18519.0,Lajpat Nagar
1710.0,3,3.0,4.0,26000000,15205.0,Lajpat Nagar 2
1650.0,3,3.0,1.0,30000000,18182.0,Lajpat Nagar
1280.0,2,2.0,1.0,12500000,9766.0,Lajpat Nagar
